molecule_chembl_id,target_chembl_id,target_pref_name,standard_type,standard_relation,standard_value,standard_units,assay_chembl_id,assay_type,assay_description,document_chembl_id,uniprot_id,target_pref_name,readout,smiles,pActivity
CHEMBL3234568,CHEMBL5409,G-protein coupled bile acid receptor 1,IC50,=,90.0,nM,CHEMBL3239427,B,Agonist activity at TGR5 in human PBMC assessed as inhibition of LPS-induced TNFalpha production preincubated for 30 mins followed by LPS stimulation measured after 3 hrs by HTRF assay,CHEMBL3232835,Q8TDU6,G-protein coupled bile acid receptor 1,IC50,CN1CCN(c2cc(N3CCC[C@@H](C(=O)NCCc4ccc(C#N)cc4)C3)nc(C(F)(F)F)n2)CC1,7.045757490560675
CHEMBL3234871,CHEMBL5409,G-protein coupled bile acid receptor 1,IC50,=,215.0,nM,CHEMBL3239427,B,Agonist activity at TGR5 in human PBMC assessed as inhibition of LPS-induced TNFalpha production preincubated for 30 mins followed by LPS stimulation measured after 3 hrs by HTRF assay,CHEMBL3232835,Q8TDU6,G-protein coupled bile acid receptor 1,IC50,N#Cc1ccc(CCNC(=O)[C@@H]2CCN2c2cc(-c3ccc([C@H]4CC[C@H](C(=O)O)CC4)cc3)nc(C(F)(F)F)n2)cc1,6.667561540084394
CHEMBL131,CHEMBL5409,G-protein coupled bile acid receptor 1,IC50,=,251.0,nM,CHEMBL3796546,B,Agonist activity at TGR5 in human whole blood assessed as inhibition of LPS-induced TNF-alpha release,CHEMBL3792350,Q8TDU6,G-protein coupled bile acid receptor 1,IC50,C[C@]12C=CC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)CO,6.600326278518962
CHEMBL2407935,CHEMBL5409,G-protein coupled bile acid receptor 1,EC50,=,80.0,nM,CHEMBL2410510,B,Agonist activity at recombinant human GPBAR1 expressed in CHO cells,CHEMBL2406956,Q8TDU6,G-protein coupled bile acid receptor 1,EC50,Cc1ccccc1[C@@H](C/C(=N\O)c1ccc(=O)n(C)c1)c1ccc(S(C)(=O)=O)cc1,7.096910013008056
CHEMBL2407934,CHEMBL5409,G-protein coupled bile acid receptor 1,EC50,=,26.0,nM,CHEMBL2410510,B,Agonist activity at recombinant human GPBAR1 expressed in CHO cells,CHEMBL2406956,Q8TDU6,G-protein coupled bile acid receptor 1,EC50,Cc1ccccc1[C@H](C/C(=N\O)c1ccc(=O)n(C)c1)c1ccc(S(C)(=O)=O)cc1,7.585026652029182
CHEMBL2407933,CHEMBL5409,G-protein coupled bile acid receptor 1,EC50,=,320.0,nM,CHEMBL2410510,B,Agonist activity at recombinant human GPBAR1 expressed in CHO cells,CHEMBL2406956,Q8TDU6,G-protein coupled bile acid receptor 1,EC50,Cc1ccccc1[C@@H](C/C(=N\O)c1ccc(=O)n(C)c1)c1ccc(-c2ccc(C(=O)O)cc2)cc1,6.494850021680094
CHEMBL2407932,CHEMBL5409,G-protein coupled bile acid receptor 1,EC50,=,60.0,nM,CHEMBL2410510,B,Agonist activity at recombinant human GPBAR1 expressed in CHO cells,CHEMBL2406956,Q8TDU6,G-protein coupled bile acid receptor 1,EC50,Cc1ccccc1[C@H](C/C(=N\O)c1ccc(=O)n(C)c1)c1ccc(-c2ccc(C(=O)O)cc2)cc1,7.221848749616356
CHEMBL2407931,CHEMBL5409,G-protein coupled bile acid receptor 1,EC50,=,23.0,nM,CHEMBL2410510,B,Agonist activity at recombinant human GPBAR1 expressed in CHO cells,CHEMBL2406956,Q8TDU6,G-protein coupled bile acid receptor 1,EC50,Cc1cc(/C(C[C@@H](c2ccc(N3CCC(C(=O)O)CC3)cc2)c2ccccc2C)=N/O)ccn1,7.638272163982407
CHEMBL2407930,CHEMBL5409,G-protein coupled bile acid receptor 1,EC50,=,4.0,nM,CHEMBL2410510,B,Agonist activity at recombinant human GPBAR1 expressed in CHO cells,CHEMBL2406956,Q8TDU6,G-protein coupled bile acid receptor 1,EC50,Cc1cc(/C(C[C@H](c2ccc(N3CCC(C(=O)O)CC3)cc2)c2ccccc2C)=N/O)ccn1,8.397940008672037
CHEMBL2407929,CHEMBL5409,G-protein coupled bile acid receptor 1,EC50,=,57.0,nM,CHEMBL2410510,B,Agonist activity at recombinant human GPBAR1 expressed in CHO cells,CHEMBL2406956,Q8TDU6,G-protein coupled bile acid receptor 1,EC50,Cc1cc(/C(C[C@@H](c2ccc(-c3ccc(C(=O)O)cc3)cc2)c2ccccc2C)=N/O)ccn1,7.2441251443275085
