molecule_chembl_id,target_chembl_id,target_pref_name,standard_type,standard_relation,standard_value,standard_units,assay_chembl_id,assay_type,assay_description,document_chembl_id,uniprot_id,target_pref_name,readout,smiles,pActivity
CHEMBL3956675,CHEMBL5649,Prokineticin receptor 1,IC50,=,1400.0,nM,CHEMBL3889151,B,"Biological Assay: Prokineticin receptor 1 (PKR1) antagonists may be functionally assessed by measurement of change in intracellular calcium levels induced by Gq mediated increase in inositol triphosphate (IP3) levels. The ability of a compound to block the intracellular release of calcium mediated by PK1 in RBL2H3 cells expressing human PKR1 receptors is determined as a measure of the compound's antagonist activity in vitro. Approximately 10,000 cells per assay well are seeded in normal culture medium in a 384 well plate (Corning). Twenty-four hours after seeding, the cells are loaded with a calcium sensitive fluorescent dye by replacing the culture medium with assay buffer (1xHanks buffered saline, 25 mM HEPES, 0.1% w/v fatty acid free BSA (bovine serum albumin), pH 7.4) containing 1 mM probenecid and 1x Calcium 5 Reagent (Molecular Devices). Cells are incubated at 37° C. for 1 hour to allow for dye uptake.To test for antagonist activity, test compounds at a final concentration range between 0.32 nM-10 uM (diluted in assay buffer) are added to the assay wells and allowed to incubate for 10 minutes prior to stimulation with PK1. After incubation with test compounds the assay plate is placed in a FLIPR Tetra (Molecular Devices) and PK1 (diluted in assay buffer) is added at the determined EC80 concentration (final). Ligand-dependent changes in intracellular calcium levels are determined by measuring changes in fluorescence of the dye at 525 nM following excitation at 485 nM. Readings from wells that do not contain antagonist enable percentage inhibition curves to be plotted using 4-parameter fit algorithm and IC50 values are calculated for each test compound.",CHEMBL3886967,Q8TCW9,Prokineticin receptor 1,IC50,Cc1nn(C)c(C)c1S(=O)(=O)N1CCC(Oc2ccc(Cl)c(Cl)c2)CC1,5.853871964321762
CHEMBL3981081,CHEMBL5649,Prokineticin receptor 1,IC50,=,1400.0,nM,CHEMBL3889151,B,"Biological Assay: Prokineticin receptor 1 (PKR1) antagonists may be functionally assessed by measurement of change in intracellular calcium levels induced by Gq mediated increase in inositol triphosphate (IP3) levels. The ability of a compound to block the intracellular release of calcium mediated by PK1 in RBL2H3 cells expressing human PKR1 receptors is determined as a measure of the compound's antagonist activity in vitro. Approximately 10,000 cells per assay well are seeded in normal culture medium in a 384 well plate (Corning). Twenty-four hours after seeding, the cells are loaded with a calcium sensitive fluorescent dye by replacing the culture medium with assay buffer (1xHanks buffered saline, 25 mM HEPES, 0.1% w/v fatty acid free BSA (bovine serum albumin), pH 7.4) containing 1 mM probenecid and 1x Calcium 5 Reagent (Molecular Devices). Cells are incubated at 37° C. for 1 hour to allow for dye uptake.To test for antagonist activity, test compounds at a final concentration range between 0.32 nM-10 uM (diluted in assay buffer) are added to the assay wells and allowed to incubate for 10 minutes prior to stimulation with PK1. After incubation with test compounds the assay plate is placed in a FLIPR Tetra (Molecular Devices) and PK1 (diluted in assay buffer) is added at the determined EC80 concentration (final). Ligand-dependent changes in intracellular calcium levels are determined by measuring changes in fluorescence of the dye at 525 nM following excitation at 485 nM. Readings from wells that do not contain antagonist enable percentage inhibition curves to be plotted using 4-parameter fit algorithm and IC50 values are calculated for each test compound.",CHEMBL3886967,Q8TCW9,Prokineticin receptor 1,IC50,Cc1nn(C)c(C)c1S(=O)(=O)N1CCC(Oc2ccc(OC(F)(F)F)cc2)CC1,5.853871964321762
CHEMBL3973065,CHEMBL5649,Prokineticin receptor 1,IC50,=,530.0,nM,CHEMBL3889151,B,"Biological Assay: Prokineticin receptor 1 (PKR1) antagonists may be functionally assessed by measurement of change in intracellular calcium levels induced by Gq mediated increase in inositol triphosphate (IP3) levels. The ability of a compound to block the intracellular release of calcium mediated by PK1 in RBL2H3 cells expressing human PKR1 receptors is determined as a measure of the compound's antagonist activity in vitro. Approximately 10,000 cells per assay well are seeded in normal culture medium in a 384 well plate (Corning). Twenty-four hours after seeding, the cells are loaded with a calcium sensitive fluorescent dye by replacing the culture medium with assay buffer (1xHanks buffered saline, 25 mM HEPES, 0.1% w/v fatty acid free BSA (bovine serum albumin), pH 7.4) containing 1 mM probenecid and 1x Calcium 5 Reagent (Molecular Devices). Cells are incubated at 37° C. for 1 hour to allow for dye uptake.To test for antagonist activity, test compounds at a final concentration range between 0.32 nM-10 uM (diluted in assay buffer) are added to the assay wells and allowed to incubate for 10 minutes prior to stimulation with PK1. After incubation with test compounds the assay plate is placed in a FLIPR Tetra (Molecular Devices) and PK1 (diluted in assay buffer) is added at the determined EC80 concentration (final). Ligand-dependent changes in intracellular calcium levels are determined by measuring changes in fluorescence of the dye at 525 nM following excitation at 485 nM. Readings from wells that do not contain antagonist enable percentage inhibition curves to be plotted using 4-parameter fit algorithm and IC50 values are calculated for each test compound.",CHEMBL3886967,Q8TCW9,Prokineticin receptor 1,IC50,Cc1nn(C)c(C)c1S(=O)(=O)N1CCC(Oc2ccc(Cl)cc2)CC1,6.275724130399211
CHEMBL3975181,CHEMBL5649,Prokineticin receptor 1,IC50,=,7300.0,nM,CHEMBL3889151,B,"Biological Assay: Prokineticin receptor 1 (PKR1) antagonists may be functionally assessed by measurement of change in intracellular calcium levels induced by Gq mediated increase in inositol triphosphate (IP3) levels. The ability of a compound to block the intracellular release of calcium mediated by PK1 in RBL2H3 cells expressing human PKR1 receptors is determined as a measure of the compound's antagonist activity in vitro. Approximately 10,000 cells per assay well are seeded in normal culture medium in a 384 well plate (Corning). Twenty-four hours after seeding, the cells are loaded with a calcium sensitive fluorescent dye by replacing the culture medium with assay buffer (1xHanks buffered saline, 25 mM HEPES, 0.1% w/v fatty acid free BSA (bovine serum albumin), pH 7.4) containing 1 mM probenecid and 1x Calcium 5 Reagent (Molecular Devices). Cells are incubated at 37° C. for 1 hour to allow for dye uptake.To test for antagonist activity, test compounds at a final concentration range between 0.32 nM-10 uM (diluted in assay buffer) are added to the assay wells and allowed to incubate for 10 minutes prior to stimulation with PK1. After incubation with test compounds the assay plate is placed in a FLIPR Tetra (Molecular Devices) and PK1 (diluted in assay buffer) is added at the determined EC80 concentration (final). Ligand-dependent changes in intracellular calcium levels are determined by measuring changes in fluorescence of the dye at 525 nM following excitation at 485 nM. Readings from wells that do not contain antagonist enable percentage inhibition curves to be plotted using 4-parameter fit algorithm and IC50 values are calculated for each test compound.",CHEMBL3886967,Q8TCW9,Prokineticin receptor 1,IC50,Cc1nn(C)c(C)c1S(=O)(=O)N1CCC(Oc2ccc(C#N)cc2)CC1,5.136677139879544
CHEMBL3945817,CHEMBL5649,Prokineticin receptor 1,IC50,=,2300.0,nM,CHEMBL3889151,B,"Biological Assay: Prokineticin receptor 1 (PKR1) antagonists may be functionally assessed by measurement of change in intracellular calcium levels induced by Gq mediated increase in inositol triphosphate (IP3) levels. The ability of a compound to block the intracellular release of calcium mediated by PK1 in RBL2H3 cells expressing human PKR1 receptors is determined as a measure of the compound's antagonist activity in vitro. Approximately 10,000 cells per assay well are seeded in normal culture medium in a 384 well plate (Corning). Twenty-four hours after seeding, the cells are loaded with a calcium sensitive fluorescent dye by replacing the culture medium with assay buffer (1xHanks buffered saline, 25 mM HEPES, 0.1% w/v fatty acid free BSA (bovine serum albumin), pH 7.4) containing 1 mM probenecid and 1x Calcium 5 Reagent (Molecular Devices). Cells are incubated at 37° C. for 1 hour to allow for dye uptake.To test for antagonist activity, test compounds at a final concentration range between 0.32 nM-10 uM (diluted in assay buffer) are added to the assay wells and allowed to incubate for 10 minutes prior to stimulation with PK1. After incubation with test compounds the assay plate is placed in a FLIPR Tetra (Molecular Devices) and PK1 (diluted in assay buffer) is added at the determined EC80 concentration (final). Ligand-dependent changes in intracellular calcium levels are determined by measuring changes in fluorescence of the dye at 525 nM following excitation at 485 nM. Readings from wells that do not contain antagonist enable percentage inhibition curves to be plotted using 4-parameter fit algorithm and IC50 values are calculated for each test compound.",CHEMBL3886967,Q8TCW9,Prokineticin receptor 1,IC50,CCn1nc(C)c(S(=O)(=O)N2CCC(Oc3ccc(C)cc3)CC2)c1C,5.638272163982407
CHEMBL3912835,CHEMBL5649,Prokineticin receptor 1,IC50,=,860.0,nM,CHEMBL3889151,B,"Biological Assay: Prokineticin receptor 1 (PKR1) antagonists may be functionally assessed by measurement of change in intracellular calcium levels induced by Gq mediated increase in inositol triphosphate (IP3) levels. The ability of a compound to block the intracellular release of calcium mediated by PK1 in RBL2H3 cells expressing human PKR1 receptors is determined as a measure of the compound's antagonist activity in vitro. Approximately 10,000 cells per assay well are seeded in normal culture medium in a 384 well plate (Corning). Twenty-four hours after seeding, the cells are loaded with a calcium sensitive fluorescent dye by replacing the culture medium with assay buffer (1xHanks buffered saline, 25 mM HEPES, 0.1% w/v fatty acid free BSA (bovine serum albumin), pH 7.4) containing 1 mM probenecid and 1x Calcium 5 Reagent (Molecular Devices). Cells are incubated at 37° C. for 1 hour to allow for dye uptake.To test for antagonist activity, test compounds at a final concentration range between 0.32 nM-10 uM (diluted in assay buffer) are added to the assay wells and allowed to incubate for 10 minutes prior to stimulation with PK1. After incubation with test compounds the assay plate is placed in a FLIPR Tetra (Molecular Devices) and PK1 (diluted in assay buffer) is added at the determined EC80 concentration (final). Ligand-dependent changes in intracellular calcium levels are determined by measuring changes in fluorescence of the dye at 525 nM following excitation at 485 nM. Readings from wells that do not contain antagonist enable percentage inhibition curves to be plotted using 4-parameter fit algorithm and IC50 values are calculated for each test compound.",CHEMBL3886967,Q8TCW9,Prokineticin receptor 1,IC50,Cc1ccc(OC2CCN(S(=O)(=O)c3c(C)nn(C)c3Cl)CC2)cc1,6.065501548756432
CHEMBL3946318,CHEMBL5649,Prokineticin receptor 1,IC50,=,790.0,nM,CHEMBL3889151,B,"Biological Assay: Prokineticin receptor 1 (PKR1) antagonists may be functionally assessed by measurement of change in intracellular calcium levels induced by Gq mediated increase in inositol triphosphate (IP3) levels. The ability of a compound to block the intracellular release of calcium mediated by PK1 in RBL2H3 cells expressing human PKR1 receptors is determined as a measure of the compound's antagonist activity in vitro. Approximately 10,000 cells per assay well are seeded in normal culture medium in a 384 well plate (Corning). Twenty-four hours after seeding, the cells are loaded with a calcium sensitive fluorescent dye by replacing the culture medium with assay buffer (1xHanks buffered saline, 25 mM HEPES, 0.1% w/v fatty acid free BSA (bovine serum albumin), pH 7.4) containing 1 mM probenecid and 1x Calcium 5 Reagent (Molecular Devices). Cells are incubated at 37° C. for 1 hour to allow for dye uptake.To test for antagonist activity, test compounds at a final concentration range between 0.32 nM-10 uM (diluted in assay buffer) are added to the assay wells and allowed to incubate for 10 minutes prior to stimulation with PK1. After incubation with test compounds the assay plate is placed in a FLIPR Tetra (Molecular Devices) and PK1 (diluted in assay buffer) is added at the determined EC80 concentration (final). Ligand-dependent changes in intracellular calcium levels are determined by measuring changes in fluorescence of the dye at 525 nM following excitation at 485 nM. Readings from wells that do not contain antagonist enable percentage inhibition curves to be plotted using 4-parameter fit algorithm and IC50 values are calculated for each test compound.",CHEMBL3886967,Q8TCW9,Prokineticin receptor 1,IC50,Cc1nn(C)c(C)c1S(=O)(=O)N1CCC(Oc2ccc(Cl)cc2Cl)CC1,6.102372908709558
CHEMBL3985917,CHEMBL5649,Prokineticin receptor 1,IC50,=,2900.0,nM,CHEMBL3889151,B,"Biological Assay: Prokineticin receptor 1 (PKR1) antagonists may be functionally assessed by measurement of change in intracellular calcium levels induced by Gq mediated increase in inositol triphosphate (IP3) levels. The ability of a compound to block the intracellular release of calcium mediated by PK1 in RBL2H3 cells expressing human PKR1 receptors is determined as a measure of the compound's antagonist activity in vitro. Approximately 10,000 cells per assay well are seeded in normal culture medium in a 384 well plate (Corning). Twenty-four hours after seeding, the cells are loaded with a calcium sensitive fluorescent dye by replacing the culture medium with assay buffer (1xHanks buffered saline, 25 mM HEPES, 0.1% w/v fatty acid free BSA (bovine serum albumin), pH 7.4) containing 1 mM probenecid and 1x Calcium 5 Reagent (Molecular Devices). Cells are incubated at 37° C. for 1 hour to allow for dye uptake.To test for antagonist activity, test compounds at a final concentration range between 0.32 nM-10 uM (diluted in assay buffer) are added to the assay wells and allowed to incubate for 10 minutes prior to stimulation with PK1. After incubation with test compounds the assay plate is placed in a FLIPR Tetra (Molecular Devices) and PK1 (diluted in assay buffer) is added at the determined EC80 concentration (final). Ligand-dependent changes in intracellular calcium levels are determined by measuring changes in fluorescence of the dye at 525 nM following excitation at 485 nM. Readings from wells that do not contain antagonist enable percentage inhibition curves to be plotted using 4-parameter fit algorithm and IC50 values are calculated for each test compound.",CHEMBL3886967,Q8TCW9,Prokineticin receptor 1,IC50,Cc1nn(C)c(Cl)c1S(=O)(=O)N1CCC(Oc2ccc(Cl)cc2)CC1,5.537602002101044
CHEMBL3938173,CHEMBL5649,Prokineticin receptor 1,IC50,=,3600.0,nM,CHEMBL3889151,B,"Biological Assay: Prokineticin receptor 1 (PKR1) antagonists may be functionally assessed by measurement of change in intracellular calcium levels induced by Gq mediated increase in inositol triphosphate (IP3) levels. The ability of a compound to block the intracellular release of calcium mediated by PK1 in RBL2H3 cells expressing human PKR1 receptors is determined as a measure of the compound's antagonist activity in vitro. Approximately 10,000 cells per assay well are seeded in normal culture medium in a 384 well plate (Corning). Twenty-four hours after seeding, the cells are loaded with a calcium sensitive fluorescent dye by replacing the culture medium with assay buffer (1xHanks buffered saline, 25 mM HEPES, 0.1% w/v fatty acid free BSA (bovine serum albumin), pH 7.4) containing 1 mM probenecid and 1x Calcium 5 Reagent (Molecular Devices). Cells are incubated at 37° C. for 1 hour to allow for dye uptake.To test for antagonist activity, test compounds at a final concentration range between 0.32 nM-10 uM (diluted in assay buffer) are added to the assay wells and allowed to incubate for 10 minutes prior to stimulation with PK1. After incubation with test compounds the assay plate is placed in a FLIPR Tetra (Molecular Devices) and PK1 (diluted in assay buffer) is added at the determined EC80 concentration (final). Ligand-dependent changes in intracellular calcium levels are determined by measuring changes in fluorescence of the dye at 525 nM following excitation at 485 nM. Readings from wells that do not contain antagonist enable percentage inhibition curves to be plotted using 4-parameter fit algorithm and IC50 values are calculated for each test compound.",CHEMBL3886967,Q8TCW9,Prokineticin receptor 1,IC50,COc1cccc(OC2CCN(S(=O)(=O)c3c(C)nn(C)c3C)CC2)c1,5.443697499232712
CHEMBL3891428,CHEMBL5649,Prokineticin receptor 1,IC50,=,5600.0,nM,CHEMBL3889151,B,"Biological Assay: Prokineticin receptor 1 (PKR1) antagonists may be functionally assessed by measurement of change in intracellular calcium levels induced by Gq mediated increase in inositol triphosphate (IP3) levels. The ability of a compound to block the intracellular release of calcium mediated by PK1 in RBL2H3 cells expressing human PKR1 receptors is determined as a measure of the compound's antagonist activity in vitro. Approximately 10,000 cells per assay well are seeded in normal culture medium in a 384 well plate (Corning). Twenty-four hours after seeding, the cells are loaded with a calcium sensitive fluorescent dye by replacing the culture medium with assay buffer (1xHanks buffered saline, 25 mM HEPES, 0.1% w/v fatty acid free BSA (bovine serum albumin), pH 7.4) containing 1 mM probenecid and 1x Calcium 5 Reagent (Molecular Devices). Cells are incubated at 37° C. for 1 hour to allow for dye uptake.To test for antagonist activity, test compounds at a final concentration range between 0.32 nM-10 uM (diluted in assay buffer) are added to the assay wells and allowed to incubate for 10 minutes prior to stimulation with PK1. After incubation with test compounds the assay plate is placed in a FLIPR Tetra (Molecular Devices) and PK1 (diluted in assay buffer) is added at the determined EC80 concentration (final). Ligand-dependent changes in intracellular calcium levels are determined by measuring changes in fluorescence of the dye at 525 nM following excitation at 485 nM. Readings from wells that do not contain antagonist enable percentage inhibition curves to be plotted using 4-parameter fit algorithm and IC50 values are calculated for each test compound.",CHEMBL3886967,Q8TCW9,Prokineticin receptor 1,IC50,Cc1nn(C)c(C)c1S(=O)(=O)N1CCC(Oc2ccccc2)CC1,5.251811972993799
