molecule_chembl_id,target_chembl_id,target_pref_name,standard_type,standard_relation,standard_value,standard_units,assay_chembl_id,assay_type,assay_description,document_chembl_id,uniprot_id,target_pref_name,readout,smiles,pActivity
CHEMBL3334944,CHEMBL4691,Proteinase-activated receptor 4,IC50,=,279.0,nM,CHEMBL3390699,B,Antagonist activity at PAR4 in PAR-4-AP-stimulated human platelets compound pretreated for 5 mins by fluorescent PAC1 integrin alpha2bb3 activation assay,CHEMBL3352238,Q96RI0,Proteinase-activated receptor 4,IC50,CCCNCc1c(-c2ccccc2)c2cc([N+](=O)[O-])ccc2n1C,6.554395796726403
CHEMBL3334943,CHEMBL4691,Proteinase-activated receptor 4,IC50,=,5130.0,nM,CHEMBL3390699,B,Antagonist activity at PAR4 in PAR-4-AP-stimulated human platelets compound pretreated for 5 mins by fluorescent PAC1 integrin alpha2bb3 activation assay,CHEMBL3352238,Q96RI0,Proteinase-activated receptor 4,IC50,COCCOCc1c(-c2ccccc2)c2cc([N+](=O)[O-])ccc2n1C,5.289882634888183
CHEMBL3334942,CHEMBL4691,Proteinase-activated receptor 4,IC50,=,793.0,nM,CHEMBL3390699,B,Antagonist activity at PAR4 in PAR-4-AP-stimulated human platelets compound pretreated for 5 mins by fluorescent PAC1 integrin alpha2bb3 activation assay,CHEMBL3352238,Q96RI0,Proteinase-activated receptor 4,IC50,CNCc1c(-c2ccccc2)c2cc([N+](=O)[O-])ccc2n1C,6.100726812682396
CHEMBL3334941,CHEMBL4691,Proteinase-activated receptor 4,IC50,=,336.0,nM,CHEMBL3390699,B,Antagonist activity at PAR4 in PAR-4-AP-stimulated human platelets compound pretreated for 5 mins by fluorescent PAC1 integrin alpha2bb3 activation assay,CHEMBL3352238,Q96RI0,Proteinase-activated receptor 4,IC50,Cn1c(COCc2ccccc2)c(-c2ccccc2)c2cc([N+](=O)[O-])ccc21,6.4736607226101555
CHEMBL3334940,CHEMBL4691,Proteinase-activated receptor 4,IC50,=,646.0,nM,CHEMBL3390699,B,Antagonist activity at PAR4 in PAR-4-AP-stimulated human platelets compound pretreated for 5 mins by fluorescent PAC1 integrin alpha2bb3 activation assay,CHEMBL3352238,Q96RI0,Proteinase-activated receptor 4,IC50,CCCOCc1c(-c2ccccc2)c2cc([N+](=O)[O-])ccc2n1C,6.189767482004916
CHEMBL3334939,CHEMBL4691,Proteinase-activated receptor 4,IC50,=,785.0,nM,CHEMBL3390699,B,Antagonist activity at PAR4 in PAR-4-AP-stimulated human platelets compound pretreated for 5 mins by fluorescent PAC1 integrin alpha2bb3 activation assay,CHEMBL3352238,Q96RI0,Proteinase-activated receptor 4,IC50,COCc1c(-c2ccccc2)c2cc([N+](=O)[O-])ccc2n1C,6.105130343254748
CHEMBL1609104,CHEMBL4691,Proteinase-activated receptor 4,IC50,=,140.0,nM,CHEMBL3390699,B,Antagonist activity at PAR4 in PAR-4-AP-stimulated human platelets compound pretreated for 5 mins by fluorescent PAC1 integrin alpha2bb3 activation assay,CHEMBL3352238,Q96RI0,Proteinase-activated receptor 4,IC50,Cn1c(CO)c(-c2ccccc2)c2cc([N+](=O)[O-])ccc21,6.853871964321762
CHEMBL3334887,CHEMBL4691,Proteinase-activated receptor 4,IC50,=,66.0,nM,CHEMBL3390699,B,Antagonist activity at PAR4 in PAR-4-AP-stimulated human platelets compound pretreated for 5 mins by fluorescent PAC1 integrin alpha2bb3 activation assay,CHEMBL3352238,Q96RI0,Proteinase-activated receptor 4,IC50,CCOC(=O)c1ccc(-c2cn(Cc3ccccc3)c3ccccc23)cc1,7.180456064458131
CHEMBL125021,CHEMBL4691,Proteinase-activated receptor 4,IC50,=,130.0,nM,CHEMBL3390699,B,Antagonist activity at PAR4 in PAR-4-AP-stimulated human platelets compound pretreated for 5 mins by fluorescent PAC1 integrin alpha2bb3 activation assay,CHEMBL3352238,Q96RI0,Proteinase-activated receptor 4,IC50,CCOC(=O)c1ccc(-c2nn(Cc3ccccc3)c3ccccc23)cc1,6.886056647693163
CHEMBL3334933,CHEMBL4691,Proteinase-activated receptor 4,IC50,=,10000.0,nM,CHEMBL3390699,B,Antagonist activity at PAR4 in PAR-4-AP-stimulated human platelets compound pretreated for 5 mins by fluorescent PAC1 integrin alpha2bb3 activation assay,CHEMBL3352238,Q96RI0,Proteinase-activated receptor 4,IC50,COc1ccc(-c2c(CO)n(Cc3cccc(OC(F)(F)F)c3)c3ncccc23)cn1,5.0
CHEMBL3955095,CHEMBL4691,Proteinase-activated receptor 4,IC50,=,526.0,nM,CHEMBL3863813,B,Antagonist activity at PAR4 in human platelets assessed as inhibition of activating peptide-induced PAC1 binding response preincubated for 20 mins followed by agonist addition for 20 mins by FITC-based flow cytometric analysis,CHEMBL3862030,Q96RI0,Proteinase-activated receptor 4,IC50,COc1nn2cc(-c3ccccc3F)nc2s1,6.279014255846261
CHEMBL3968857,CHEMBL4691,Proteinase-activated receptor 4,IC50,=,675.0,nM,CHEMBL3863813,B,Antagonist activity at PAR4 in human platelets assessed as inhibition of activating peptide-induced PAC1 binding response preincubated for 20 mins followed by agonist addition for 20 mins by FITC-based flow cytometric analysis,CHEMBL3862030,Q96RI0,Proteinase-activated receptor 4,IC50,COc1nn2cc(-c3cccc(F)c3)nc2s1,6.170696227168975
CHEMBL3946410,CHEMBL4691,Proteinase-activated receptor 4,IC50,=,406.0,nM,CHEMBL3863813,B,Antagonist activity at PAR4 in human platelets assessed as inhibition of activating peptide-induced PAC1 binding response preincubated for 20 mins followed by agonist addition for 20 mins by FITC-based flow cytometric analysis,CHEMBL3862030,Q96RI0,Proteinase-activated receptor 4,IC50,COc1nn2cc(-c3ccc(F)cc3)nc2s1,6.391473966422806
CHEMBL3909608,CHEMBL4691,Proteinase-activated receptor 4,IC50,=,28.5,nM,CHEMBL3863813,B,Antagonist activity at PAR4 in human platelets assessed as inhibition of activating peptide-induced PAC1 binding response preincubated for 20 mins followed by agonist addition for 20 mins by FITC-based flow cytometric analysis,CHEMBL3862030,Q96RI0,Proteinase-activated receptor 4,IC50,COc1nn2cc(-c3ccc(Cl)c(Cl)c3)nc2s1,7.54515513999149
CHEMBL3937549,CHEMBL4691,Proteinase-activated receptor 4,IC50,=,207.0,nM,CHEMBL3863813,B,Antagonist activity at PAR4 in human platelets assessed as inhibition of activating peptide-induced PAC1 binding response preincubated for 20 mins followed by agonist addition for 20 mins by FITC-based flow cytometric analysis,CHEMBL3862030,Q96RI0,Proteinase-activated receptor 4,IC50,COc1nn2cc(-c3ccc([N+](=O)[O-])cc3)nc2s1,6.684029654543082
CHEMBL3973767,CHEMBL4691,Proteinase-activated receptor 4,IC50,=,83.4,nM,CHEMBL3863813,B,Antagonist activity at PAR4 in human platelets assessed as inhibition of activating peptide-induced PAC1 binding response preincubated for 20 mins followed by agonist addition for 20 mins by FITC-based flow cytometric analysis,CHEMBL3862030,Q96RI0,Proteinase-activated receptor 4,IC50,COc1nn2cc(-c3ccc(OC(F)F)cc3)nc2s1,7.078833949362261
CHEMBL3902806,CHEMBL4691,Proteinase-activated receptor 4,IC50,=,68.8,nM,CHEMBL3863813,B,Antagonist activity at PAR4 in human platelets assessed as inhibition of activating peptide-induced PAC1 binding response preincubated for 20 mins followed by agonist addition for 20 mins by FITC-based flow cytometric analysis,CHEMBL3862030,Q96RI0,Proteinase-activated receptor 4,IC50,COc1nn2cc(-c3ccc(F)c(C(F)(F)F)c3)nc2s1,7.162411561764489
CHEMBL3924666,CHEMBL4691,Proteinase-activated receptor 4,IC50,=,4840.0,nM,CHEMBL3863813,B,Antagonist activity at PAR4 in human platelets assessed as inhibition of activating peptide-induced PAC1 binding response preincubated for 20 mins followed by agonist addition for 20 mins by FITC-based flow cytometric analysis,CHEMBL3862030,Q96RI0,Proteinase-activated receptor 4,IC50,COc1nn2cc(-c3ccccc3[N+](=O)[O-])nc2s1,5.315154638355588
CHEMBL3933579,CHEMBL4691,Proteinase-activated receptor 4,IC50,=,20.0,nM,CHEMBL3863813,B,Antagonist activity at PAR4 in human platelets assessed as inhibition of activating peptide-induced PAC1 binding response preincubated for 20 mins followed by agonist addition for 20 mins by FITC-based flow cytometric analysis,CHEMBL3862030,Q96RI0,Proteinase-activated receptor 4,IC50,COc1nn2cc(-c3cc4cc(OC(F)(F)F)ccc4n3C)nc2s1,7.698970004336019
CHEMBL3905565,CHEMBL4691,Proteinase-activated receptor 4,IC50,=,3400.0,nM,CHEMBL3863813,B,Antagonist activity at PAR4 in human platelets assessed as inhibition of activating peptide-induced PAC1 binding response preincubated for 20 mins followed by agonist addition for 20 mins by FITC-based flow cytometric analysis,CHEMBL3862030,Q96RI0,Proteinase-activated receptor 4,IC50,CN(C)c1nn2cc(-c3c(F)cccc3F)nc2s1,5.468521082957745
CHEMBL3950308,CHEMBL4691,Proteinase-activated receptor 4,IC50,=,1310.0,nM,CHEMBL3863814,B,Antagonist activity at PAR4 in human platelets assessed as inhibition of gamma-thrombin-induced PAC1 binding response preincubated for 20 mins followed by agonist addition for 20 mins by FITC-based flow cytometric analysis,CHEMBL3862030,Q96RI0,Proteinase-activated receptor 4,IC50,COc1nn2cc(-c3cccc(C(F)(F)F)c3)nc2s1,5.882728704344236
CHEMBL3906197,CHEMBL4691,Proteinase-activated receptor 4,IC50,=,348.0,nM,CHEMBL3863814,B,Antagonist activity at PAR4 in human platelets assessed as inhibition of gamma-thrombin-induced PAC1 binding response preincubated for 20 mins followed by agonist addition for 20 mins by FITC-based flow cytometric analysis,CHEMBL3862030,Q96RI0,Proteinase-activated receptor 4,IC50,COc1nn2cc(-c3ccc(C(F)(F)F)cc3)nc2s1,6.458420756053419
CHEMBL3983476,CHEMBL4691,Proteinase-activated receptor 4,IC50,=,621.0,nM,CHEMBL3863814,B,Antagonist activity at PAR4 in human platelets assessed as inhibition of gamma-thrombin-induced PAC1 binding response preincubated for 20 mins followed by agonist addition for 20 mins by FITC-based flow cytometric analysis,CHEMBL3862030,Q96RI0,Proteinase-activated receptor 4,IC50,COc1nn2cc(-c3ccc(Cl)cc3)nc2s1,6.20690839982342
CHEMBL3936444,CHEMBL4691,Proteinase-activated receptor 4,IC50,=,246.0,nM,CHEMBL3863814,B,Antagonist activity at PAR4 in human platelets assessed as inhibition of gamma-thrombin-induced PAC1 binding response preincubated for 20 mins followed by agonist addition for 20 mins by FITC-based flow cytometric analysis,CHEMBL3862030,Q96RI0,Proteinase-activated receptor 4,IC50,COc1nn2cc(-c3ccc(OC(F)(F)F)cc3)nc2s1,6.609064892896621
CHEMBL3927486,CHEMBL4691,Proteinase-activated receptor 4,IC50,=,5620.0,nM,CHEMBL3863814,B,Antagonist activity at PAR4 in human platelets assessed as inhibition of gamma-thrombin-induced PAC1 binding response preincubated for 20 mins followed by agonist addition for 20 mins by FITC-based flow cytometric analysis,CHEMBL3862030,Q96RI0,Proteinase-activated receptor 4,IC50,COc1nn2cc(-c3cc(C(F)(F)F)cc(C(F)(F)F)c3)nc2s1,5.250263684430939
CHEMBL3909608,CHEMBL4691,Proteinase-activated receptor 4,IC50,=,1460.0,nM,CHEMBL3863814,B,Antagonist activity at PAR4 in human platelets assessed as inhibition of gamma-thrombin-induced PAC1 binding response preincubated for 20 mins followed by agonist addition for 20 mins by FITC-based flow cytometric analysis,CHEMBL3862030,Q96RI0,Proteinase-activated receptor 4,IC50,COc1nn2cc(-c3ccc(Cl)c(Cl)c3)nc2s1,5.835647144215563
CHEMBL3973767,CHEMBL4691,Proteinase-activated receptor 4,IC50,=,2540.0,nM,CHEMBL3863814,B,Antagonist activity at PAR4 in human platelets assessed as inhibition of gamma-thrombin-induced PAC1 binding response preincubated for 20 mins followed by agonist addition for 20 mins by FITC-based flow cytometric analysis,CHEMBL3862030,Q96RI0,Proteinase-activated receptor 4,IC50,COc1nn2cc(-c3ccc(OC(F)F)cc3)nc2s1,5.5951662833800615
