molecule_chembl_id,target_chembl_id,target_pref_name,standard_type,standard_relation,standard_value,standard_units,assay_chembl_id,assay_type,assay_description,document_chembl_id,uniprot_id,target_pref_name,readout,smiles,pActivity
CHEMBL443325,CHEMBL4607,Angiotensin II type 2 (AT-2) receptor,IC50,=,23.0,nM,CHEMBL647843,B,In vitro binding affinity at angiotensin II (type 2) receptor in rabbit uterus.,CHEMBL1126724,P50052,Angiotensin II type 2 (AT-2) receptor,IC50,CNCC(=O)N[C@@H](CCCN=C(N)N)C(=O)N1C[C@@H]2C[C@H]1C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@H](C(=O)N[C@@H](Cc1c[nH]cn1)C(=O)N1CCC[C@H]1C(=O)N[C@@H](Cc1ccccc1)C(=O)O)CSSC[C@H](C(=O)N[C@H](Cc1c[nH]cn1)C(=O)N1CCC[C@@H]1C(=O)N[C@H](Cc1ccccc1)C(=O)O)NC(=O)[C@@H](Cc1ccc(O)cc1)NC(=O)[C@H]1C[C@H](CN1C(=O)[C@@H](CCCN=C(N)N)NC(=O)CNC)SS2,7.638272163982407
CHEMBL417584,CHEMBL4607,Angiotensin II type 2 (AT-2) receptor,IC50,=,27.0,nM,CHEMBL647843,B,In vitro binding affinity at angiotensin II (type 2) receptor in rabbit uterus.,CHEMBL1126724,P50052,Angiotensin II type 2 (AT-2) receptor,IC50,NCC(=O)N[C@@H](CCCN=C(N)N)C(=O)N[C@@H]1CSSC[C@H](C(=O)N[C@@H](Cc2c[nH]cn2)C(=O)N2CCC[C@@H]2C(=O)N[C@@H](Cc2ccccc2)C(=O)O)NC(=O)[C@@H](Cc2ccc(O)cc2)NC1=O,7.568636235841012
CHEMBL414533,CHEMBL4607,Angiotensin II type 2 (AT-2) receptor,IC50,=,0.82,nM,CHEMBL647843,B,In vitro binding affinity at angiotensin II (type 2) receptor in rabbit uterus.,CHEMBL1126724,P50052,Angiotensin II type 2 (AT-2) receptor,IC50,CNCC(=O)N[C@@H](CCCN=C(N)N)C(=O)N[C@H]1CSS[C@@H]2C[C@@H](C(=O)N[C@@H](Cc3c[nH]cn3)C(=O)N3CCC[C@H]3C(=O)N[C@@H](Cc3ccccc3)C(=O)O)N(C2)C(=O)[C@H](Cc2ccc(O)cc2)NC1=O,9.086186147616283
CHEMBL3144487,CHEMBL4607,Angiotensin II type 2 (AT-2) receptor,IC50,=,116.0,nM,CHEMBL647843,B,In vitro binding affinity at angiotensin II (type 2) receptor in rabbit uterus.,CHEMBL1126724,P50052,Angiotensin II type 2 (AT-2) receptor,IC50,CC[C@H](C)[C@H](NC(=O)[C@@H](NC[C@@H](NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@@H](N)CC(=O)O)C(C)C)c1ccc(O)cc1)C(=O)N[C@@H](Cc1c[nH]cn1)C(=O)N1CCC[C@H]1C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](Cc1c[nH]cn1)C(=O)C(N)[C@H](CC(C)C)C(C)=O,6.935542010773082
CHEMBL56448,CHEMBL4607,Angiotensin II type 2 (AT-2) receptor,IC50,=,1.74,nM,CHEMBL647843,B,In vitro binding affinity at angiotensin II (type 2) receptor in rabbit uterus.,CHEMBL1126724,P50052,Angiotensin II type 2 (AT-2) receptor,IC50,CC(C)[C@H](NC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@@H](N)CC(=O)O)C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@H](C(=O)N[C@@H](Cc1c[nH]cn1)C(=O)N1CCC[C@H]1C(=O)O)C(C)C,8.7594507517174
CHEMBL411657,CHEMBL4607,Angiotensin II type 2 (AT-2) receptor,IC50,=,25.0,nM,CHEMBL647843,B,In vitro binding affinity at angiotensin II (type 2) receptor in rabbit uterus.,CHEMBL1126724,P50052,Angiotensin II type 2 (AT-2) receptor,IC50,CNCC(=O)N[C@@H](CCCN=C(N)N)C(=O)N1C[C@@H]2C[C@H]1C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@H](C(=O)N[C@@H](Cc1c[nH]cn1)C(=O)N1CCC[C@H]1C(=O)N[C@@H](Cc1ccccc1)C(=O)O)CSS[C@H]1C[C@@H](C(=O)N[C@@H](Cc3ccc(O)cc3)C(=O)N[C@H](C(=O)N[C@@H](Cc3c[nH]cn3)C(=O)N3CCC[C@H]3C(=O)N[C@@H](Cc3ccccc3)C(=O)O)CSS2)N(C(=O)[C@H](CCCN=C(N)N)NC(=O)CNC)C1,7.6020599913279625
CHEMBL408403,CHEMBL4607,Angiotensin II type 2 (AT-2) receptor,IC50,=,2.5,nM,CHEMBL647843,B,In vitro binding affinity at angiotensin II (type 2) receptor in rabbit uterus.,CHEMBL1126724,P50052,Angiotensin II type 2 (AT-2) receptor,IC50,CC[C@H](C)[C@H](NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@@H](NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@@H](N)CC(=O)O)C(C)C)C(=O)N[C@@H](Cc1cnc[nH]1)C(=O)N1CCC[C@H]1C(=O)N[C@@H](Cc1ccccc1)C(=O)O,8.602059991327963
CHEMBL408885,CHEMBL4607,Angiotensin II type 2 (AT-2) receptor,IC50,=,28.0,nM,CHEMBL647843,B,In vitro binding affinity at angiotensin II (type 2) receptor in rabbit uterus.,CHEMBL1126724,P50052,Angiotensin II type 2 (AT-2) receptor,IC50,NCC(=O)N[C@@H](CCCN=C(N)N)C(=O)N[C@@H]1CSSCC[C@H](C(=O)N[C@@H](Cc2c[nH]cn2)C(=O)N2CCC[C@@H]2C(=O)N[C@@H](Cc2ccccc2)C(=O)O)NC(=O)[C@@H](Cc2ccc(O)cc2)NC1=O,7.552841968657781
CHEMBL385283,CHEMBL4607,Angiotensin II type 2 (AT-2) receptor,IC50,=,0.65,nM,CHEMBL647843,B,In vitro binding affinity at angiotensin II (type 2) receptor in rabbit uterus.,CHEMBL1126724,P50052,Angiotensin II type 2 (AT-2) receptor,IC50,CNCC(=O)N[C@@H](CCCN=C(N)N)C(=O)N[C@H]1CCSS[C@@H]2C[C@@H](C(=O)N[C@@H](Cc3c[nH]cn3)C(=O)N3CCC[C@H]3C(=O)N[C@@H](Cc3ccccc3)C(=O)O)N(C2)C(=O)[C@H](Cc2ccc(O)cc2)NC1=O,9.187086643357144
CHEMBL384352,CHEMBL4607,Angiotensin II type 2 (AT-2) receptor,IC50,=,0.47,nM,CHEMBL647843,B,In vitro binding affinity at angiotensin II (type 2) receptor in rabbit uterus.,CHEMBL1126724,P50052,Angiotensin II type 2 (AT-2) receptor,IC50,CNCC(=O)N[C@@H](CCCN=C(N)N)C(=O)N1C[C@H]2C[C@H]1C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@H](C(=O)N[C@@H](Cc1c[nH]cn1)C(=O)N1CCC[C@H]1C(=O)N[C@@H](Cc1ccccc1)C(=O)O)CCSS2,9.327902142064282
